DATE;BP;VPSIZE;VPSIZEMIN;VPSIZEMAX;VPSEQT;DWQT;VDWQT;VPPSEQT;VPXPSEQT;HITRATIO;MISSRATIO;MAX_ASYNC_IO_DLY_MS;SYNC_IO_DLY_MS;MAX_SYNC_IO_DLY_MS;SYNC_IO_S;NON-DCRYPY_RD_MBS;NON_ENCRYP_WRT_MBS;PG_USED_BP_GB;CHG_PG_WRT_GB
01/02/202400:00;BP0;24;60160;80128;10;30;5;50;50;8584;97;296;16;586;3;1;0;0;0
01/02/202400:00;BP1;1600;524288;655360;80;30;5;50;50;9861;88;347;34;1087;1;1;1;1;0
01/02/202400:00;BP11;600;1572864;3145728;80;30;1;50;50;9962;9;34728;27;29736;0;0;0;0;0
01/02/202400:00;BP12;1600;100000;125000;10;30;1;50;50;9876;4;1305;18;1448;9;1;3;2;0
01/02/202400:00;BP2;1600;524288;655360;10;30;5;50;50;9878;21;956;18;1089;9;14;0;2;0
01/02/202400:00;BP23;200;524288;1048576;50;30;1;50;50;8726;17;26;16;778;0;0;0;0;0
01/02/202400:00;BP24;200;524288;655360;50;30;1;50;50;3446;3614;293;35;47872;20;1;0;0;0
01/02/202400:00;BP25;200;524288;655360;80;30;5;50;50;9950;9;299;25;646;0;0;0;0;0
01/02/202400:00;BP26;1000;50000;70000;10;30;1;50;50;9424;3;239;16;501;1;0;0;0;0
01/02/202400:00;BP27;200;524288;650240;10;30;1;50;50;8870;236;50;22;1787;36;1;0;0;0
01/02/202400:00;BP28;200;524288;2097152;10;30;1;50;50;8422;423;197;26;2857;3;0;0;0;0
01/02/202400:00;BP3;1200;524288;655360;10;30;5;50;50;9810;29;1341;29;61188;5;1;0;1;0
01/02/202400:00;BP4;126;290048;330240;10;30;5;50;50;8686;490;939;37;999;0;0;0;0;0
01/02/202400:00;BP44;200;393216;1048576;80;30;1;50;50;9936;0;202;17;125;0;0;0;0;0
01/02/202400:00;BP8;1600;50000;70000;80;30;1;50;50;9885;30;1535;25;3734;18;11;1;3;0
01/02/202400:15;BP0;24;60160;80128;10;30;5;50;50;8886;13;243;14;570;3;0;0;0;0
01/02/202400:15;BP1;1600;524288;655360;80;30;5;50;50;9954;16;310;25;12270;3;1;0;1;0
01/02/202400:15;BP11;600;1572864;3145728;80;30;1;50;50;9877;18;34728;21;29736;6;2;0;0;0
01/02/202400:15;BP12;1600;100000;125000;10;30;1;50;50;9825;3;1305;21;1448;6;0;1;1;0
01/02/202400:15;BP2;1600;524288;655360;10;30;5;50;50;9545;45;956;17;4096;78;31;0;2;0
01/02/202400:15;BP23;200;524288;1048576;50;30;1;50;50;9636;95;74;23;778;3;1;0;0;0
01/02/202400:15;BP24;200;524288;655360;50;30;1;50;50;7156;276;141;17;1837;69;3;0;1;0
01/02/202400:15;BP25;200;524288;655360;80;30;5;50;50;7135;479;39;26;646;0;0;0;0;0
01/02/202400:15;BP26;1000;50000;70000;10;30;1;50;50;9736;44;67;16;501;0;1;0;0;0
01/02/202400:15;BP27;200;524288;650240;10;30;1;50;50;9654;4;50;14;25725;85;4;0;1;0
01/02/202400:15;BP28;200;524288;2097152;10;30;1;50;50;8231;329;197;25;2198;3;0;0;0;0
01/02/202400:15;BP3;1200;524288;655360;10;30;5;50;50;9697;50;1341;24;1398;7;1;0;1;0
01/02/202400:15;BP4;126;290048;330240;10;30;5;50;50;9962;11;1979;26;936;1;1;0;0;0
01/02/202400:15;BP44;200;393216;1048576;80;30;1;50;50;9937;0;311;20;125;0;0;0;0;0
01/02/202400:15;BP8;1600;50000;70000;80;30;1;50;50;9435;110;367;20;6274;68;40;0;3;0
01/02/202400:30;BP0;24;60160;80128;10;30;5;50;50;9385;11;243;15;570;2;0;0;0;0
01/02/202400:30;BP1;1600;524288;655360;80;30;5;50;50;9979;12;1295;35;12270;1;0;0;1;0
01/02/202400:30;BP11;600;1572864;3145728;80;30;1;50;50;9858;4;34728;15;29736;305;355;1;8;0
01/02/202400:30;BP12;1600;100000;125000;10;30;1;50;50;9990;15;1305;27;1448;1;0;0;1;0
01/02/202400:30;BP2;1600;524288;655360;10;30;5;50;50;9891;49;956;20;34609;60;32;0;4;0
01/02/202400:30;BP23;200;524288;1048576;50;30;1;50;50;9899;23;91;35;523;0;0;0;0;0
01/02/202400:30;BP24;200;524288;655360;50;30;1;50;50;9074;212;190;25;501;0;0;0;0;0
01/02/202400:30;BP25;200;524288;655360;80;30;5;50;50;9805;7;39;19;320;0;0;0;0;0
01/02/202400:30;BP26;1000;50000;70000;10;30;1;50;50;8586;174;4;25;153;0;0;0;0;0
01/02/202400:30;BP27;200;524288;650240;10;30;1;50;50;9977;2;55;24;494;0;0;0;0;0
01/02/202400:30;BP28;200;524288;2097152;10;30;1;50;50;8408;221;0;19;634;2;0;0;0;0
01/02/202400:30;BP3;1200;524288;655360;10;30;5;50;50;9086;609;1341;28;12843;75;10;3;2;0
01/02/202400:30;BP4;126;290048;330240;10;30;5;50;50;8569;509;939;31;936;1;0;0;0;0
01/02/202400:30;BP44;200;393216;1048576;80;30;1;50;50;9925;0;57;22;178;0;0;0;0;0
01/02/202400:30;BP8;1600;50000;70000;80;30;1;50;50;9850;17;257;18;751;26;3;0;0;0
01/02/202400:45;BP0;24;60160;80128;10;30;5;50;50;9706;21;168;17;570;0;0;0;0;0
01/02/202400:45;BP1;1600;524288;655360;80;30;5;50;50;9972;19;304;33;3450;1;0;0;1;0
01/02/202400:45;BP11;600;1572864;3145728;80;30;1;50;50;9868;3;588;13;408;51;58;0;3;0
01/02/202400:45;BP12;1600;100000;125000;10;30;1;50;50;9436;4;402;13;738;35;7;3;3;0
01/02/202400:45;BP2;1600;524288;655360;10;30;5;50;50;9892;72;593;21;496;7;5;0;2;0
01/02/202400:45;BP23;200;524288;1048576;50;30;1;50;50;9020;16;16;18;117;0;0;0;0;0
01/02/202400:45;BP24;200;524288;655360;50;30;1;50;50;8567;307;40;24;294;0;0;0;0;0
01/02/202400:45;BP25;200;524288;655360;80;30;5;50;50;7454;342;10;23;392;0;0;0;0;0
01/02/202400:45;BP26;1000;50000;70000;10;30;1;50;50;10000;0;292;17;52;0;0;0;0;0
01/02/202400:45;BP27;200;524288;650240;10;30;1;50;50;9607;44;0;35;10403;0;0;0;0;0
01/02/202400:45;BP28;200;524288;2097152;10;30;1;50;50;8762;214;17;19;634;1;0;0;0;0
01/02/202400:45;BP3;1200;524288;655360;10;30;5;50;50;9900;33;922;35;37034;2;0;0;1;0
01/02/202400:45;BP4;126;290048;330240;10;30;5;50;50;9791;60;939;25;387;0;0;0;0;0
01/02/202400:45;BP44;200;393216;1048576;80;30;1;50;50;9818;0;87;20;122;0;0;0;0;0
01/02/202400:45;BP8;1600;50000;70000;80;30;1;50;50;9115;267;719;31;695;1;0;0;0;0
01/02/202401:00;BP0;24;60160;80128;10;30;5;50;50;9114;0;49;18;65;0;0;0;0;0
01/02/202401:00;BP1;1600;524288;655360;80;30;5;50;50;5351;0;13;47;357;0;0;0;0;0
01/02/202401:00;BP11;600;1572864;3145728;80;30;1;50;50;9900;0;55;21;363;0;0;0;0;0
01/02/202401:00;BP12;1600;100000;125000;10;30;1;50;50;9545;0;197;15;430;3;0;0;0;0
01/02/202401:00;BP2;1600;524288;655360;10;30;5;50;50;8620;0;215;16;575;1;0;0;0;0
01/02/202401:00;BP24;200;524288;655360;50;30;1;50;50;6169;0;0;36;166;0;0;0;0;0
01/02/202401:00;BP25;200;524288;655360;80;30;5;50;50;6923;0;0;19;50;0;0;0;0;0
01/02/202401:00;BP26;1000;50000;70000;10;30;1;50;50;5844;0;0;29;108;0;0;0;0;0
01/02/202401:00;BP27;200;524288;650240;10;30;1;50;50;8390;0;0;27;146;0;0;0;0;0
01/02/202401:00;BP28;200;524288;2097152;10;30;1;50;50;8124;0;0;19;135;0;0;0;0;0
01/02/202401:00;BP3;1200;524288;655360;10;30;5;50;50;9308;0;101;30;508;0;0;0;0;0
01/02/202401:00;BP4;126;290048;330240;10;30;5;50;50;6859;0;11;23;367;0;0;0;0;0
01/02/202401:00;BP44;200;393216;1048576;80;30;1;50;50;9905;0;0;21;110;0;0;0;0;0
01/02/202401:00;BP8;1600;50000;70000;80;30;1;50;50;9888;0;206;16;494;1;0;0;0;0
01/02/202401:15;BP0;24;60160;80128;10;30;5;50;50;9552;37;473;19;436;0;0;0;0;0
01/02/202401:15;BP1;1600;524288;655360;80;30;5;50;50;9798;94;267;31;1596;1;0;0;1;0
01/02/202401:15;BP11;600;1572864;3145728;80;30;1;50;50;9349;174;471;24;309;0;0;0;0;0
01/02/202401:15;BP12;1600;100000;125000;10;30;1;50;50;9092;10;331;13;1677;76;41;16;2;0
01/02/202401:15;BP2;1600;524288;655360;10;30;5;50;50;9805;19;416;20;445;1;0;0;1;0
01/02/202401:15;BP23;200;524288;1048576;50;30;1;50;50;9848;0;128;30;166;0;0;0;0;0
01/02/202401:15;BP24;200;524288;655360;50;30;1;50;50;6820;400;40;21;1086;0;0;0;0;0
01/02/202401:15;BP25;200;524288;655360;80;30;5;50;50;6570;585;14;32;270;0;0;0;0;0
01/02/202401:15;BP26;1000;50000;70000;10;30;1;50;50;8650;88;20;22;142;0;0;0;0;0
01/02/202401:15;BP27;200;524288;650240;10;30;1;50;50;8333;41;5;15;1123;1;0;0;0;0
01/02/202401:15;BP28;200;524288;2097152;10;30;1;50;50;8560;299;3;21;438;1;0;0;0;0
01/02/202401:15;BP3;1200;524288;655360;10;30;5;50;50;9540;179;3032;33;771;1;0;0;1;0
01/02/202401:15;BP4;126;290048;330240;10;30;5;50;50;9344;164;313;29;524;0;0;0;0;0
01/02/202401:15;BP44;200;393216;1048576;80;30;1;50;50;9805;10;49;20;99;0;0;0;0;0
01/02/202401:15;BP8;1600;50000;70000;80;30;1;50;50;9767;49;367;22;411;1;0;0;0;0
01/02/202401:30;BP0;24;60160;80128;10;30;5;50;50;9593;19;473;17;206;0;0;0;0;0
01/02/202401:30;BP1;1600;524288;655360;80;30;5;50;50;9682;159;188;36;982;0;0;0;1;0
01/02/202401:30;BP11;600;1572864;3145728;80;30;1;50;50;9027;151;166;21;292;0;0;0;0;0
01/02/202401:30;BP12;1600;100000;125000;10;30;1;50;50;9464;7;749;12;1082;47;50;17;3;1
01/02/202401:30;BP2;1600;524288;655360;10;30;5;50;50;9872;15;416;16;1420;3;7;0;1;0
01/02/202401:30;BP23;200;524288;1048576;50;30;1;50;50;9974;0;28;16;106;0;0;0;0;0
01/02/202401:30;BP24;200;524288;655360;50;30;1;50;50;4270;70;40;14;1086;13;0;0;0;0
01/02/202401:30;BP25;200;524288;655360;80;30;5;50;50;7909;216;3;26;176;0;0;0;0;0
01/02/202401:30;BP26;1000;50000;70000;10;30;1;50;50;9330;11;0;23;274;0;0;0;0;0
01/02/202401:30;BP27;200;524288;650240;10;30;1;50;50;8290;66;5;15;1123;11;1;0;0;0
01/02/202401:30;BP28;200;524288;2097152;10;30;1;50;50;8965;201;9;21;482;1;0;0;0;0
01/02/202401:30;BP3;1200;524288;655360;10;30;5;50;50;9514;134;124;34;15643;1;0;0;0;0
01/02/202401:30;BP4;126;290048;330240;10;30;5;50;50;9993;2;432;27;524;0;0;0;0;0
01/02/202401:30;BP8;1600;50000;70000;80;30;1;50;50;9646;35;196;16;1001;3;3;0;0;0
01/02/202401:45;BP0;24;60160;80128;10;30;5;50;50;8433;7;473;13;521;2;0;0;0;0
01/02/202401:45;BP1;1600;524288;655360;80;30;5;50;50;9964;18;338;37;992;0;0;0;1;0
01/02/202401:45;BP11;600;1572864;3145728;80;30;1;50;50;9625;37;247;19;566;1;0;0;0;0
01/02/202401:45;BP12;1600;100000;125000;10;30;1;50;50;9292;8;623;12;1765;79;51;17;2;0
01/02/202401:45;BP2;1600;524288;655360;10;30;5;50;50;9855;12;638;18;42055;13;27;0;5;0
01/02/202401:45;BP23;200;524288;1048576;50;30;1;50;50;8319;28;0;21;194;0;0;0;0;0
01/02/202401:45;BP24;200;524288;655360;50;30;1;50;50;5309;7;43;15;24769;113;4;0;2;0
01/02/202401:45;BP25;200;524288;655360;80;30;5;50;50;7470;202;2;32;281;0;0;0;0;0
01/02/202401:45;BP26;1000;50000;70000;10;30;1;50;50;8674;133;0;26;322;0;0;0;0;0
01/02/202401:45;BP27;200;524288;650240;10;30;1;50;50;8877;19;20;17;23844;92;3;0;2;0
01/02/202401:45;BP28;200;524288;2097152;10;30;1;50;50;8306;326;0;21;682;1;0;0;0;0
01/02/202401:45;BP3;1200;524288;655360;10;30;5;50;50;9383;190;195;33;15643;1;0;0;0;0
01/02/202401:45;BP4;126;290048;330240;10;30;5;50;50;8558;150;432;34;524;0;0;0;0;0
01/02/202401:45;BP8;1600;50000;70000;80;30;1;50;50;9733;19;656;18;2472;13;23;0;9;0
01/02/202402:00;BP0;24;60160;80128;10;30;5;50;50;9794;8;473;17;694;0;0;0;0;0
01/02/202402:00;BP1;1600;524288;655360;80;30;5;50;50;9688;239;338;35;582;0;0;0;1;0
01/02/202402:00;BP11;600;1572864;3145728;80;30;1;50;50;8727;276;313;25;297;0;0;0;0;0
01/02/202402:00;BP12;1600;100000;125000;10;30;1;50;50;9867;8;927;43;543;0;0;0;0;0
01/02/202402:00;BP2;1600;524288;655360;10;30;5;50;50;9292;41;619;15;1590;135;6;0;8;0
01/02/202402:00;BP23;200;524288;1048576;50;30;1;50;50;7840;67;11;23;402;0;0;0;0;0
01/02/202402:00;BP24;200;524288;655360;50;30;1;50;50;7880;128;13;29;216;0;0;0;0;0
01/02/202402:00;BP25;200;524288;655360;80;30;5;50;50;2479;56;64;42;985;0;0;0;0;0
01/02/202402:00;BP26;1000;50000;70000;10;30;1;50;50;9294;28;4;26;140;0;0;0;0;0
01/02/202402:00;BP27;200;524288;650240;10;30;1;50;50;9977;1;34;22;1123;0;0;0;0;0
01/02/202402:00;BP28;200;524288;2097152;10;30;1;50;50;8535;161;180;23;694;1;0;0;0;0
01/02/202402:00;BP3;1200;524288;655360;10;30;5;50;50;9979;6;2541;41;15643;1;0;0;0;0
01/02/202402:00;BP4;126;290048;330240;10;30;5;50;50;8750;264;432;37;524;0;0;0;0;0
01/02/202402:00;BP8;1600;50000;70000;80;30;1;50;50;8131;696;379;29;1317;1;0;0;5;0
